Player,WK,OPP,RESULT,COMP,ATT,YDS,AVG,TD,INT,SCK,SCKY,RATE,ATT,YDS,AVG,TD,FUM,LOST
Justin Herbert,17,@Patriots,W 40 - 7,26,38,281,7.4,3,0,0,0,116.2,3,12,4,0
Justin Herbert,18,@Raiders,W 34 - 20,28,36,346,9.6,2,0,1,10,125.2,4,42,10.5,0
Brock Purdy,1,Jets,W 32 - 19,19,29,231,8,0,0,2,6,89.9,1,11,11,0
Brock Purdy,2,@Vikings,L 17 - 23,28,36,319,8.9,1,1,6,22,101.3,2,12,6,0,1,1
Brock Purdy,3,@Rams,L 24 - 27,22,30,292,9.7,3,0,1,4,137.1,10,41,4.1,0,1,1
Brock Purdy,4,Patriots,W 30 - 13,15,27,288,10.7,1,1,1,5,89.7,5,11,2.2,0,2,0
Brock Purdy,5,Cardinals,L 23 - 24,19,35,244,7,1,2,2,13,62.1,4,33,8.2,0
Brock Purdy,6,@Seahawks,W 36 - 24,18,28,255,9.1,3,0,0,0,129.3,4,19,4.8,0
Brock Purdy,7,Chiefs,L 18 - 28,17,31,212,6.8,0,3,1,3,36.7,8,27,3.4,2
Brock Purdy,8,Cowboys,W 30 - 24,18,26,260,10,1,0,2,14,114.3,8,56,7,1,1,0
Brock Purdy,10,@Buccaneers,W 23 - 20,25,36,353,9.8,2,0,3,15,119.3,4,17,4.2,0,1,0
Brock Purdy,11,Seahawks,L 17 - 20,21,28,159,5.7,1,1,2,13,85.3,5,40,8,1
Brock Purdy,12,@Packers,L 10 - 38,,,,,,,
Brock Purdy,13,@Bills,L 10 - 35,11,18,94,5.2,0,0,2,8,74.8,2,4,2,0,1,1
Brock Purdy,14,Bears,W 38 - 13,20,25,325,13,2,0,1,4,145.4,5,11,2.2,0
Brock Purdy,15,Rams,L 6 - 12,14,31,142,4.6,0,1,3,14,45.4,1,3,3,0
Brock Purdy,16,@Dolphins,L 17 - 29,26,40,313,7.8,2,1,3,20,95.1,4,26,6.5,0
Brock Purdy,17,Lions,L 34 - 40,27,35,377,10.8,3,2,2,12,116,3,12,4,1
Brock Purdy,18,@Cardinals,L 24 - 47,,,,,,,
Kyler Murray,1,@Bills,L 28 - 34,21,31,162,5.2,1,0,4,16,91.1,5,57,11.4,0,1,1
Kyler Murray,2,Rams,W 41 - 10,17,21,266,12.7,3,0,1,8,158.3,5,59,11.8,0,,
Kyler Murray,3,Lions,L 13 - 20,21,34,207,6.1,1,1,1,7,76.5,5,45,9,0,,
Kyler Murray,4,Commanders,L 14 - 42,16,22,142,6.4,1,0,4,27,104.7,1,3,3,0,,
Kyler Murray,5,@49ers,W 24 - 23,19,30,195,6.5,1,1,1,6,79.2,7,83,11.9,1,1,0
Kyler Murray,6,@Packers,L 13 - 34,22,32,214,6.7,1,0,0,0,97.7,7,14,2,0,1,1
Kyler Murray,7,Chargers,W 17 - 15,14,26,145,5.6,1,1,0,0,67,6,64,10.7,1,,
Kyler Murray,8,@Dolphins,W 28 - 27,26,36,307,8.5,2,0,0,0,116.3,5,19,3.8,0,1,0
Kyler Murray,9,Bears,W 29 - 9,13,20,154,7.7,0,0,3,17,88.3,2,6,3,0,1,1
Kyler Murray,10,Jets,W 31 - 6,22,24,266,11.1,1,0,1,7,126.7,3,21,7,2,1,0
Kyler Murray,12,@Seahawks,L 6 - 16,24,37,285,7.7,0,1,5,36,77,2,9,4.5,0,,
Kyler Murray,13,@Vikings,L 22 - 23,31,45,260,5.8,1,2,1,8,72.4,7,48,6.9,0,1,0
Kyler Murray,14,Seahawks,L 18 - 30,25,38,259,6.8,2,2,2,24,80.9,3,16,5.3,0,,
Kyler Murray,15,Patriots,W 30 - 17,23,30,224,7.5,0,0,0,0,97.1,5,11,2.2,0,,
Kyler Murray,16,@Panthers,L 30 - 36,20,32,202,6.3,1,1,3,26,77.9,8,63,7.9,1,1,1
Kyler Murray,17,@Rams,L 9 - 13,33,48,321,6.7,1,2,4,38,76.8,4,32,8,0,,
Kyler Murray,18,49ers,W 47 - 24,25,35,242,6.9,4,0,0,0,128.5,3,22,7.3,0,,
